                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.73737,                 1.3313,                  1.114,                0.44508,                0.67003,                0.51773,                0.35406,                0.95785,                 1.2748,                 1.2682,             0.00041118,             0.00041118,             0.00041118
                     49,                0.74044,                 1.3048,                  1.119,                0.47099,                0.65213,                0.55454,                0.38144,                0.96245,                  1.223,                 1.2982,             0.00040357,             0.00040357,             0.00040357
                     50,                0.72553,                 1.3149,                 1.1101,                0.44981,                0.68461,                0.55818,                 0.3826,                0.97804,                 1.2239,                 1.3099,             0.00039596,             0.00039596,             0.00039596
                     51,                0.72554,                  1.305,                  1.112,                0.40699,                0.72327,                0.55346,                0.37841,                 1.0047,                 1.2481,                 1.3445,             0.00038835,             0.00038835,             0.00038835
                     52,                0.68794,                 1.2804,                 1.0995,                0.46085,                0.67751,                0.56203,                0.38753,                0.96942,                 1.2473,                 1.2993,             0.00038073,             0.00038073,             0.00038073
                     53,                0.72927,                 1.3082,                 1.1145,                0.39382,                0.72796,                 0.5561,                 0.3771,                0.97459,                 1.2288,                 1.3079,             0.00037312,             0.00037312,             0.00037312
                     54,                0.73428,                 1.2922,                  1.109,                0.46928,                 0.6862,                0.54656,                0.36716,                0.98714,                 1.1725,                 1.3336,             0.00036551,             0.00036551,             0.00036551
                     55,                0.73696,                 1.2963,                 1.1113,                0.43596,                  0.726,                0.57267,                0.38869,                0.96568,                  1.191,                  1.308,             0.00035789,             0.00035789,             0.00035789
                     56,                0.71229,                 1.2722,                 1.1019,                  0.459,                0.67199,                0.56212,                0.39263,                0.95712,                 1.1988,                 1.2754,             0.00035028,             0.00035028,             0.00035028
                     57,                0.71255,                  1.274,                 1.1035,                0.47706,                0.69252,                0.56256,                0.40279,                0.96169,                 1.2112,                 1.2734,             0.00034267,             0.00034267,             0.00034267
                     58,                0.71895,                 1.2546,                 1.1075,                0.50195,                0.63957,                 0.5603,                0.39609,                0.96321,                 1.2275,                  1.278,             0.00033505,             0.00033505,             0.00033505
                     59,                0.72366,                 1.2784,                 1.1101,                0.46637,                0.67725,                0.54541,                0.37512,                0.95329,                 1.2246,                 1.2917,             0.00032744,             0.00032744,             0.00032744
                     60,                0.71431,                 1.2563,                 1.1013,                0.53747,                0.59726,                0.56946,                0.38045,                0.95553,                 1.2291,                 1.3019,             0.00031983,             0.00031983,             0.00031983
                     61,                0.71279,                 1.2762,                 1.1045,                0.50169,                0.64487,                0.56858,                0.39653,                0.96214,                 1.2056,                 1.2902,             0.00031221,             0.00031221,             0.00031221
                     62,                0.70898,                 1.2333,                 1.1024,                0.45198,                0.68265,                0.55992,                 0.3782,                0.97083,                 1.2313,                 1.2989,              0.0003046,              0.0003046,              0.0003046
                     63,                0.69362,                 1.2216,                 1.0922,                0.46895,                0.68256,                0.57744,                0.40319,                0.96069,                 1.1654,                 1.2786,             0.00029699,             0.00029699,             0.00029699
                     64,                0.70454,                  1.263,                 1.1022,                0.49248,                0.65069,                 0.5786,                 0.3951,                0.94137,                 1.2004,                 1.2802,             0.00028937,             0.00028937,             0.00028937
                     65,                0.71491,                 1.2517,                 1.1063,                0.45965,                0.64264,                0.56527,                0.38421,                0.99162,                 1.1986,                 1.3201,             0.00028176,             0.00028176,             0.00028176
                     66,                0.70387,                 1.2497,                 1.1027,                0.51228,                 0.6896,                0.59318,                0.40927,                0.97043,                 1.1291,                 1.3086,             0.00027415,             0.00027415,             0.00027415
                     67,                0.68733,                 1.2274,                 1.0937,                0.59993,                0.64896,                0.59985,                0.41769,                0.93078,                 1.1666,                 1.2634,             0.00026654,             0.00026654,             0.00026654
                     68,                0.70101,                 1.2435,                 1.1013,                0.50185,                0.62729,                0.57644,                0.40333,                0.95642,                 1.2407,                 1.2964,             0.00025892,             0.00025892,             0.00025892
                     69,                0.71039,                 1.2246,                 1.1031,                0.49721,                0.67549,                0.58559,                0.39678,                0.98649,                 1.1365,                 1.3128,             0.00025131,             0.00025131,             0.00025131
                     70,                0.70862,                 1.2292,                 1.1054,                0.47642,                0.70594,                  0.593,                0.40693,                 0.9617,                 1.1628,                 1.2958,              0.0002437,              0.0002437,              0.0002437
                     71,                0.69909,                 1.2179,                 1.0956,                0.47914,                0.68727,                0.60158,                0.40967,                0.97736,                 1.1402,                 1.3072,             0.00023608,             0.00023608,             0.00023608
                     72,                0.69311,                 1.2277,                  1.094,                0.46105,                0.71427,                0.59995,                0.40706,                0.96565,                 1.1249,                 1.3049,             0.00022847,             0.00022847,             0.00022847
                     73,                 0.6916,                 1.1988,                 1.0903,                0.49351,                0.70161,                0.61357,                0.42392,                 0.9544,                 1.1333,                 1.2894,             0.00022086,             0.00022086,             0.00022086
                     74,                0.70619,                 1.2126,                 1.0939,                0.48523,                0.66779,                0.60789,                 0.4282,                0.94256,                 1.0962,                 1.2874,             0.00021324,             0.00021324,             0.00021324
                     75,                0.70628,                 1.2013,                 1.1003,                0.48687,                0.70096,                0.60117,                0.41333,                 0.9462,                 1.1698,                 1.2951,             0.00020563,             0.00020563,             0.00020563
                     76,                0.68992,                 1.2094,                  1.099,                0.48219,                0.70582,                0.59903,                0.41834,                0.96312,                 1.1322,                 1.2895,             0.00019802,             0.00019802,             0.00019802
                     77,                0.69215,                 1.1896,                 1.0899,                0.47875,                0.69489,                0.58958,                0.40417,                0.96757,                 1.1353,                 1.2934,              0.0001904,              0.0001904,              0.0001904
                     78,                0.69125,                 1.1693,                 1.0987,                0.49763,                0.71434,                0.61255,                 0.4171,                0.95285,                 1.1319,                 1.2913,             0.00018279,             0.00018279,             0.00018279
                     79,                0.70049,                  1.197,                 1.0968,                0.51457,                0.66357,                0.60087,                0.42258,                0.95308,                 1.1591,                 1.2742,             0.00017518,             0.00017518,             0.00017518
                     80,                0.69307,                 1.1812,                  1.096,                0.50731,                0.69465,                0.60808,                0.42236,                0.93449,                 1.1122,                 1.2775,             0.00016757,             0.00016757,             0.00016757
                     81,                0.70223,                 1.2052,                 1.0989,                0.45802,                0.75307,                0.61341,                0.42963,                0.94222,                 1.1006,                 1.2838,             0.00015995,             0.00015995,             0.00015995
                     82,                0.69557,                 1.1771,                 1.0922,                0.53389,                0.71342,                0.63172,                0.43798,                0.96557,                  1.075,                 1.2943,             0.00015234,             0.00015234,             0.00015234
                     83,                0.68209,                 1.1678,                 1.0843,                0.46141,                0.72325,                 0.6015,                0.41414,                0.94406,                 1.1178,                   1.29,             0.00014473,             0.00014473,             0.00014473
                     84,                0.68763,                 1.1613,                 1.0899,                0.51224,                0.64853,                 0.6113,                 0.4259,                0.94606,                 1.1091,                 1.2749,             0.00013711,             0.00013711,             0.00013711
                     85,                0.68435,                 1.1773,                 1.0901,                 0.5319,                0.69133,                0.62103,                0.43074,                0.95132,                 1.0939,                 1.2766,              0.0001295,              0.0001295,              0.0001295
                     86,                0.68609,                 1.1484,                 1.0936,                0.51419,                0.72461,                 0.6191,                0.43196,                0.95205,                 1.0984,                 1.2739,             0.00012189,             0.00012189,             0.00012189
                     87,                0.68757,                 1.1621,                 1.0925,                0.49075,                0.71315,                0.59215,                0.40936,                0.96373,                 1.1679,                 1.2851,             0.00011427,             0.00011427,             0.00011427
                     88,                0.67559,                 1.1496,                 1.0899,                0.46896,                0.72384,                0.61646,                0.42525,                0.96044,                 1.1065,                  1.287,             0.00010666,             0.00010666,             0.00010666
                     89,                0.68272,                 1.1472,                 1.0868,                 0.4864,                 0.6902,                0.61915,                0.42856,                0.93439,                 1.0848,                 1.2781,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.57068,                0.99701,                 1.0944,                0.47114,                0.74681,                0.60384,                0.41919,                0.95986,                 1.2229,                 1.3064,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.57856,                 0.8795,                 1.0861,                0.51454,                0.69686,                0.59744,                0.42214,                 0.9404,                   1.17,                 1.2882,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.55398,                0.86082,                 1.0849,                 0.5142,                0.71922,                0.61145,                0.43376,                0.93462,                 1.1424,                 1.2765,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.54098,                0.85068,                 1.0871,                0.50383,                0.69931,                0.60949,                 0.4292,                0.93418,                 1.1271,                 1.2864,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.55231,                0.84345,                 1.0817,                0.50209,                0.72636,                0.61154,                0.43317,                0.93821,                 1.1171,                 1.2831,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.54722,                0.82899,                 1.0744,                0.49579,                0.74275,                0.61111,                  0.432,                 0.9341,                 1.1053,                 1.2797,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.55085,                 0.7985,                 1.0755,                0.51749,                0.73197,                 0.6113,                0.43451,                0.93186,                 1.0971,                 1.2828,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.53007,                0.80089,                 1.0759,                0.52107,                0.74251,                 0.6158,                0.44016,                0.93428,                 1.0905,                 1.2806,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.54234,                0.80442,                 1.0764,                0.50478,                0.71733,                0.61307,                0.43352,                0.94334,                 1.1005,                 1.2867,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                0.54321,                0.78706,                 1.0741,                0.51247,                0.73473,                0.61525,                0.43847,                0.93443,                 1.1012,                 1.2816,             2.2916e-05,             2.2916e-05,             2.2916e-05
